region		FR	FR	FR	FR	FR	FR	FR	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	United States	United States	United States	United States	United States	United States	United States	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	EU	EU	EU	EU	EU	EU	EU
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
region	sector																																																																													
FR	Agriculture	18664.3590213	0	0	2013.4588647	2775.83291138	0	0	972.978333917	0	0	21.8736766808	5.06578534273	0	0	19.4082888554	0	0	0	1.94723073497	0	0	86.0756587213	0.013587877938	0.730903185082	0.0761595010387	1.30183112501	0	0	123.87856788	3.11405112515	87.8286467202	19.7324994232	0.944355507169	0	0	73.8205410296	0	0.0147265102819	0.119210114595	0.976000894885	0	0	162.209631057	1.3932050443	1.24329772057	11.5197546422	0.0489823384486	0	0	10.6222688104	0	0	0.750146978711	8.7072757449	0	0	2.76222699105	9.29170887411e-11	0	1.71185998789e-10	0.0332183825096	0	0	286.478492745	0.00023845660936	0.0038236790577	0.451226096405	13.8479139748	0	0	3680.07244587	7.47503231307	5.39624033621	478.788002123	84.0756998673	0	0
FR	Crude coal	4.87845545342	0	0	0	3.6310511818	0	0	0.000455704129745	0	0	3.10945195586e-09	0.000226846059953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228736614839	1.47817366534e-06	0.000219420872528	0	0	0	0	4.3831826969e-08	0	0	3.19449725821e-08	0	0	0	0.000457596180299	7.75915462811e-09	4.00861686898e-06	0	0	0	0	0	0	0	0	0	0	0	1.46799166546e-08	0	0	1.06988361533e-08	0	0	0	0.00595108516096	1.4397493004e-08	1.21571404573e-05	7.16097332621e-05	0	0	0	0.0514030877182	0	0	0.017754413568	0.0363476042217	0	0
FR	Crude oil	0	0	0	0	0.169659425187	0	0	0	0	0	0.0198964511047	0.0191292580636	0	0	0	0	0	0.000335378413469	5.78971840252e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.13934243381e-06	0	0	0	0	0	0	0	4.22166821067e-06	0.00120632799681	0	0
FR	Natural gas	8925.81461151	0	0	0	0	0	0	3.36337407406e-10	0	0	1.58675643097e-10	0	0	0	0	0	0	0.00302692012543	1.74770240036e-05	0	0	0.0825677787243	0	1.24650760569e-05	0.032906049164	0.670859281635	0	0	0.000948348627237	8.52357480509e-11	0	0.00247555809517	0.00122223054079	0	0	0	0	0	0.00191963918256	5.09253712846e-05	0	0	8.90908811816e-06	2.8354968299e-07	5.03773270923e-07	0.00129506643283	0	0	0	0	0	0	4.54880430459e-10	0	0	0	0	0	0	0	0	0	0	0.0161989739506	7.88447185721e-08	9.47859227292e-06	0	0	0	0	9.5658873533e-08	0	0	0.3810198746	0.861669283803	0	0
FR	Extractive industry	0	0	0	0	38.7371541146	0	0	0.188171382592	0	0	0	0.207453731541	0	0	0.0787966078547	0	0	3.41143701516e-05	0.0377868643461	0	0	0.402914007274	0	0	0	0.381871363909	0	0	0.234303982344	0	0	0	0.070457620713	0	0	0.312595357792	0	0	0	0.217530643466	0	0	0.0496904633225	2.06121753467e-05	0.00010313997569	0.0480905194791	0.00310020102537	0	0	0	0	0	0.00185875138848	0.0775561723521	0	0	0	0	0	0	0.00335295040576	0	0	0.00802946149717	0	5.68672478497e-05	0	0.0281850791012	0	0	5.10462163816	0	0	0.468772715365	12.3461824961	0	0
FR	Biomass_industry	76454.8690938	0	324.020670344	0	574.994259309	0	0	4703.76572948	0	0	9.19351571819	55.9985848616	0	0	3551.97949393	0	0	4.01002595382	8.62566080878	0	0	511.305886076	4.1125921252	23.1211453381	2.07855020753	23.255171961	0	0	3363.85355195	0.0311735016607	0.70714979355	41.7348968399	41.4217817234	0	0	1620.78817544	0	0.20310165046	3.23774674179	7.40504965372	0	0	2269.92348369	0.0601116562023	6.72758913498	4.57380136383	0.596521412502	0	0	199.226005154	0	0	0.0228088341281	3.18199491943	0	0	47.530660614	0	0	0	0.378542890143	0	0	2964.81981676	0.117434364792	3.93646929601	9.44244310567	7.15508240344	0	0	15043.1398003	49.3472031997	10.5701260689	79.5766705202	190.130142351	0	0
FR	Clothing	5508.20119439	0	108.804224479	0	487.635098038	0	0	1609.26759538	0	0	3.20472930807	0.97561152143	0	0	1066.38402281	0	0	0.198392229719	3.31064230873	0	0	331.106042057	0.380355868191	0.468066937302	1.43910345707	19.4923780652	0	0	933.544339789	0.00306230153146	0.0338311374451	16.0349219062	8.83416287216	0	0	339.734783523	0	1.96308925356	2.40719701079	2.08988617763	0	0	666.364816389	0.00589000165724	0.118001103586	8.23100373742	0.114786577227	0	0	34.429114985	0	0	0.139400143417	0.644413877295	0	0	1.94666487302	0	0	0.00651990289457	0.0239341742824	0	0	1156.61635372	0.00121614561255	0.112976870571	21.2731457523	1.18105752526	0	0	5477.08482639	3.20047860509	3.43720764497	24.7987946064	61.7205003097	0	0
FR	Heavy_industry	12856.1319432	0	41488.907349	298.832684386	839.239907252	0	0	906.404082438	0	17.2969453786	39.4350164523	48.3078973904	0	0	1640.37251178	0	0	15.7151285953	8.58573001124	0	0	369.145997487	3.46382661918	13.5993632212	33.9324945046	53.6799907645	0	0	1928.09687278	0.0125453842089	0.039578249942	27.0413613723	20.6626380911	0	0	1806.83222222	0	62.8359616524	3.3694005821	27.9657075905	0	0	2122.28333659	60.2268294451	51.922023376	18.2578280305	0.428328305016	0	0	262.448981939	0	0	1.7429861329	11.1472206979	0	0	12.0220167334	0	0	0.12446742535	1.13811243438	0	0	1265.09315796	5.11087222485	2.28015949281	14.955315921	1.68330271464	0	0	2722.19733319	42.2131298705	1708.50939397	171.285276171	214.151932816	0	0
FR	Construction	8796.46644765	0	0	242552.354641	324.691565029	0	0	0.0501371891919	0	0.00372456417173	173.325575765	0.277161575058	0	0	0	0	0	160.232502168	0	0	0	1.54188270166	7.64241817779e-05	4.93386500501e-05	623.29082291	0.00735332636501	0	0	13.7737378282	0.000819245433879	0.170032569697	669.008359341	0	0	0	9.16565611342	0.000291572874208	0.00020544801686	438.890795649	0	0	0	2.92878562706	0.0106979004393	0.000378942038111	368.874006121	0	0	0	0	0	0	44.8479882759	0	0	0	0	0	0	112.29468646	0	0	0	4.33117022052	0.000344398602663	0.000234138944376	232.469011061	0	0	0	14.46679124	2.24348439784e-05	0.394905794089	574.605336995	0.172939660337	0	0
FR	Automobile	26547.7846919	0	0	15072.078206	266.628307132	0	0	3127.26472968	0	0	757.050051538	61.7271101799	0	0	185.445047475	0	0	436.711927041	11.5134131714	0	0	187.95728244	3.76632219585	3.0591380856	123.428151197	102.160334578	0	0	359.275270926	0.000355557447931	0.0151122213305	1012.80633789	3.95969490865	0	0	545.523058843	0	0	714.896437804	14.0318725747	0	0	311.581745157	0.00060125797283	0.203197265984	606.658106476	0.0721657468735	0	0	320.188155494	0	0	151.599100275	4.99241277254	0	0	0	0	0	0	2.43017586451	0	0	982.847517812	0.000916522850481	0.000341678933051	630.672195273	0.570596304538	0	0	6427.25820155	7.48719317003	2.65311092691	9525.01244541	201.893273956	0	0
FR	Oth transport equipment	1421.34100997	0	79.6879635045	4344.0067782	651.940775199	0	0	379.306767406	0	0.98661980659	658.245352794	9.88129015167	0	0	480.259912634	0	0	3756.84194946	87.0987444348	0	0	17.7065559805	0.549373621538	0.290318714742	850.14895339	271.144428377	0	0	508.098718078	0.000137885816255	1.46348668265	6616.33723267	75.1516903826	0	0	505.142435654	0	0.524686080601	735.510884438	139.019216347	0	0	422.795680399	0.000235322352266	0.00487747603794	1883.86948033	0.0574629478466	0	0	301.90444351	0	0	637.741116362	12.0719134292	0	0	0	0	0	17.2853948891	0.126126336665	0	0	333.513150675	0.00011571019624	1.53994054943	786.577430669	2.09302630575	0	0	1910.23109747	4.13216954968	57.8181918118	8647.56497587	195.172473884	0	0
FR	Machinery	4045.26155653	0	1073.34100266	15550.2844041	545.768260199	0	0	472.335121859	0	19.1071423349	2702.96305527	85.6984594439	0	0	770.582088069	0	0	3737.79228787	24.4259052172	0	0	294.381205974	1.15903594063	1.27298105223	1872.92594392	290.101169445	0	0	322.767922078	0.00108457052911	63.901624024	2668.6923457	59.7103722729	0	0	611.834555305	0	14.3327745022	2634.60582772	25.2081658505	0	0	611.956553689	0.000851698473302	40.1852738853	3161.86038692	1.50088202916	0	0	121.649821168	0	0	708.207456439	10.4816361872	0	0	20.9264255527	0	0	143.196947967	1.74148297958	0	0	1247.56120536	0.000609897779308	17.3842038118	3062.3899136	17.1511687577	0	0	2616.25053862	16.6851076662	181.721496816	13858.6739472	396.813812582	0	0
FR	Electronics	1956.93538405	0	0	3559.95717198	1853.88107031	0	0	498.210139385	0	0.537138741026	153.839869844	9.83858273388	0	0	174.44363743	0	0	285.791589079	1.58297727454	0	0	165.867138447	8.43017670252	9.8531559519	77.5870163153	46.0296618999	0	0	711.890712445	0.00184786456485	0.0391816856423	1534.55474129	11.9184947943	0	0	138.78144812	0	0.0767216479413	170.245471057	2.48221582607	0	0	216.895892192	0.00630727388843	0.00433776484101	412.444751151	0.215716487728	0	0	45.8376563162	0	0	48.2835506874	1.20879677178	0	0	0.00425877803441	0	0	0.187870350084	0.000847249579323	0	0	394.143450025	0.00109899410674	0.0094675124791	418.708309147	0.0372067024973	0	0	1845.28374973	15.3927598241	1.45243114643	1098.7918662	157.285770245	0	0
FR	Fossil fuels	13216.3834929	0	19.3350500539	6.17247519062e-08	59.5965485079	0	0	413.800346746	0	9.97178537768e-06	0.000512594017513	13.8917760361	0	0	423.302943954	0	0	0	0.615102780232	0	0	32.48892288	0.510466202155	0.605782995858	0	2.68309131546	0	0	36.9324926071	0.000537547321534	0.00767275726795	0	0.164035134661	0	0	112.653288341	0.00123890020692	2.75528308821	0.00540523066312	2.53843971555	0	0	260.635250269	0.0124660665169	0.174538117743	0.000109469537052	0.00100689572963	0	0	1.3121776103	0	6.30154127517e-08	0.0726903501991	8.41414795409	0	0	3.63531088434	0	0	0	0.147270601261	0	0	648.613271405	0.00146037906156	0.147689299695	0	0.0749365116095	0	0	1225.26708249	0.014264994148	0.494718090804	0.0388839987364	105.612562364	0	0
FR	Electricity and heat	27593.7377664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0324808301231	0	0.00515234986841	0	0	0	0
